## These are comments,,,,,,,,,,,,,,,,,,
# Expecting the following format for each row,,,,,,,,,,,,,,,,,,
# Player,character,alt,character,alt,character,alt,character,alt,character,alt,character,alt,,,,,,
Watherum,Ranno,T_Ran_Tuxedo_Neutral_CSP,Clairen,T_Cla_Abyss_Red_CSP,Kragg,T_Kra_Default_Abyssal_CSP,Zetterburn,T_Zet_Abyss_Red_CSP,Galvan,T_Gal_Genesis_Red_CSP
Monocle Gentlesir,Maypul,T_May_Sylvan_Green_CSP,Clairen,T_Cla_Abyss_Green_CSP,La Reina,T_Lar_Hornet_Green_CSP
Average Alex,Clairen,T_Cla_Leopard_Pink_CSP,Forsburn,T_For_Default_Neutral_CSP,Random,T_Ran_Blue,Maypul,T_May_Primal_Orange_CSP,Wrastor,T_Wra_Default_Neutral_CSP,Kragg,T_Kra_Default_Neutral_CSP,Orcane,T_Orc_Prehistoric_CoolBlue_CSP,Loxodont,T_Lox_Summer_Blue_CSP,Zetterburn,T_Zet_Default_Neutral_CSP,Etalus,T_Eta_Default_Green_CSP,Olympia,T_Oly_LowPoly_Green_CSP,Fleet,T_Fle_Ranger_Green_CSP,Ranno,T_Ran_LowPoly_Orange_CSP,Absa,T_Abs_Summer_Green_CSP,Galvan,T_Gal_Abyss_Midnight_CSP,La Reina,T_Lar_Lucha_Green_CSP,Slade,T_Sla_Zebra_Neutral_CSP
ZeeBee,Kragg,T_Kra_Default_Blue_CSP,Random,T_Ran_Blue,Etalus,T_Eta_Default_Green_CSP,Clairen,T_Cla_Default_Blue_CSP,Zetterburn,T_Zet_Default_Red_CSP,Orcane,T_Orc_Default_Red_CSP
Mars,Clairen,T_Cla_Default_Neutral_CSP
Crowbar,Kragg,T_Kra_Soccer_Neutral_CSP,Zetterburn,T_Zet_Default_Blue_CSP,Random,T_Ran_Blue
Reaper,Clairen,T_Cla_Default_Black_CSP,Forsburn,T_For_Abyss_Midnight_CSP,Etalus,T_Eta_Abyss_Midnight_CSP,Kragg,T_Kra_Salaryman_Blue_CSP,Galvan,T_Gal_Default_Black_CSP
John Fortnite,Maypul,T_May_Retro_Red_CSP,Ranno,T_Ran_LowPoly_Green_CSP
Sqibbo,Ranno,T_Ran_Solid_Black_CSP,Loxodont,T_Lox_Default_Red_CSP,Kragg,T_Kra_Rockstar_Red_CSP,Orcane,T_Orc_Axolotl_Neutral_CSP,Clairen,T_Cla_Tiger_Red_CSP,Olympia,T_Oly_Opossum_Neutral_CSP
QE,Clairen,T_Cla_Lovers_Red_CSP,Orcane,T_Orc_Clownfish_Neutral_CSP
Chum,Loxodont,T_Lox_Default_Orange_CSP,Clairen,T_Cla_Default_Orange_CSP
Katotan,Loxodont,T_Lox_Default_Black_CSP
Grunk,Zetterburn,T_Zet_Panther_Pink_CSP,Forsburn,T_For_Default_Black_CSP,Kragg,T_Kra_LadyBug_Red_CSP,Olympia,T_Oly_Default_Neutral_CSP,Clairen,T_Cla_Leopard_Pink_CSP
RC,Wrastor,T_Wra_Default_Neutral_CSP
Toiler,Loxodont,T_Lox_Lovers_Neutral_CSP
Ares,Zetterburn,T_Zet_Abyss_Midnight_CSP,Clairen,T_Cla_Ranger_Red_CSP,Absa,T_Abs_Mecha_Neutral_CSP
