## These are comments,
# Expecting the following format for each row,
# Character,Character in filename
Banjo,Banjo & Kazooie
Bowser Jr,Bowser Jr (Koopalings)
Bowser Jr.,Bowser Jr (Koopalings)
Cpt Falcon,Captain Falcon
Diddy,Diddy Kong
DK,Donkey Kong
Dr. Mario,Dr Mario
Fighter,Mii Fighter
Game & Watch,Mr Game and Watch
Game and Watch,Mr Game and Watch
Game&Watch,Mr Game and Watch
Ganon,Ganondorf
Gunner,Mii Gunner
K Rool,King K Rool
K. Rool,King K Rool
King DDD,King DeDeDe
King K. Rool,King K Rool
MegaMan,Mega Man
MetaKnight,Meta Knight
Mii Swordfighter,Mii Swordsman
Mr. Game & Watch,Mr Game and Watch
Mr. Game and Watch,Mr G & W
Mr. Game and Watch,Mr Game & Watch
Olimar,Olimar (Alph)
P Plant,Piranha Plant
Pac Man,Pac-Man
PKM Trainer,Pokemon Trainer
Plant,Piranha Plant
Puff,Jigglypuff
Pyra & Mythra,Pyra
Pyra and Mythra,Pyra
Pyra/Mythra,Pyra
Rosalina,Rosalina and Luma
Swordfighter,Mii Swordsman
ZSS,Zero Suit Samus
Kazuya,Kazuya Mishima
Speep
