## These are comments,,,,,,,,,,,,,,,,,,
# Expecting the following format for each row,,,,,,,,,,,,,,,,,,
# Player,character,alt,character,alt,character,alt,character,alt,character,alt,character,alt,,,,,,
17,Mario,5,Ike,3,Ken,2
96,Pyra,5
!Ford,Steve,8
~Phoenix~,Snake,5
1Trick,Wario,7,Fox,4,Sephiroth,1
4fun,Corrin,5
Accursed_1,Duck Hunt,3
Ace$,Ness,1
Acex,Cloud,6
Aegis,Wolf,7,Shulk,3
AGoat,Little Mac,3
AJB,King DDD,4
AlanDiss,Snake,7,Hero,3,Mario,5
alexmoraaa,King DDD,1,Ganon,1
Alt Account,Donkey Kong,7
always,WiI Fit Trainer,5
Alx,Joker,6
Amarantha,Duck Hunt,6,Toon Link,4,Cloud,2
Anarchy,Greninja,8,Wolf,8
Ang,Toon Link,3
Animeniac,Mewtwo,1,Fox,1
ANJELLOH,Luigi,1
Apolotion,Greninja,6
ArcTheGreat,Pyra,1
Armads -HEM-,Min Min,8
Arnold,Terry,1,Joker,5,Sephiroth,4
Ash,Sephiroth,1,Bowser,1,Ryu,1
AsuraCoffee,Ryu,3,Terry,6,Sora,1
AT46,Pichu,1,Inkling,1
athenaaaaa,ZSS,7
ATHOTH!!,Min Min,8,KING DEDEDE,4
Atlas,Bowser,2,Mii Gunner,3,Pyra,1
Atomic,ROB,5,Joker,1
Atomizer,Sephiroth,1
Aucious,Peach,2
Augmented,Yoshi,3
Aura,Captain Falcon,6
Average Alex,Cloud,2,Pyra,1,Ike,7,Sephiroth,1,Dr Mario,1,Palutena,4,Byleth,4,Random,1,Robin,1,Roy,7,Corrin,7,Pit,8,Chrom,4,Joker,1,Ganondorf,1,Marth,1,Richter,4,Samus,7,Link,7,Dark Samus,1,Wolf,1,Kazuya,1,Young Link,6,Hero,6,Steve,1,Mii Brawler,1,Mr Game and Watch,8,Shulk,2,Lucina,1,Bowser,8,Falco,1,Captain Falcon,8,Speep,1,Sheik,7
Awex,Pokemon Trainer,2,OLIMAR (ALPH),2
aWildChocobro,Duck Hunt,8,Ganon,7,Incineroar,3,King DeDeDe,6
AxF,Terry,8,Corrin,4
Ayygent,ROB,4
B O N E S M E A T,Snake,1
B.W. Styles,MEGA MAN,2,Terry,1
B1,Luigi,4
BadBoyRay,Steve,1,Kazuya,1
Bayo main 1,Bayonetta,8
Beem0,Yoshi,6,Pichu,5,Lucina,6
BICI,Pyra,7
BIG BOW,Bowser,4,Wolf,7,Lucina,3,PYRA,2,DR MARIO,8
BIGBOI,Wolf,6
Bigtim,Cloud,2
Binoo,Pyra,5
BlazeK114,Pichu,1
Blazikus,Mario,6,Diddy,2
Blender,Lucina,7
Bloomy,Pokemon Trainer,1,Puff,1,Pyra,8,Joker,6,Kazuya,2
Blueboo,Young Link,6
bluesclues,Young Link,7
BlueTheRaptor,King K Rool,8
Bluxious,Bowser,1
Bmm404040,Robin,2,Pichu,8
boko,Hero,7
Bonilla,Wolf,7,ROB,4,Ike,7,Roy,8,PKM Trainer,5
boonanaman,Pokemon Trainer,7,Cpt Falcon,8
Boots,Mario,1
Borjas191,PYRA,1,Inkling,7
BossMK,Cloud,6,PKM Trainer,6
BraveWT,Shulk,1
brigade,Ganondorf,6,Donkey Kong,2
Bro-Shoe,King K. Rool,3
BRS_Ace,Ike,8,Joker,1,Kirby,3
Bulbasir,Steve,1
Busk,Bowser,5
butterysticky,Villager,6
bwar,Corrin,4
Cabo,Pikachu,5
Caffeine,Snake,3
Calamity,Donkey Kong,8,Wario,4
CaLiBuRT3K,Richter,8,Sephiroth,7,Chrom,2
Camaraderie,Bowser,1
Camaraderie123,Bowser,1
Cannon Red,Jigglypuff,5
Captain Milk Man,Lucina,5,Captain Falcon,7
carlestier,Cloud,8,Terry,8
CDuce,Yoshi,7
cesarXfire,Ike,8,Samus,7
Champ,Sonic,5
